Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
F, 40.78B,  24.31$, 19.17%, 61.11%,2022-01-03, 7.36%,273.80%,2022-01-17,14,0.2879%
AEG, 10.86B,   5.55$, 14.66%, 18.03%,2022-01-06, 4.14%,478.62%,2022-01-19,13,1.0811%
ILMN, 13.12B, 412.26$, 11.33%,  0.10%,2022-01-10, 9.22%,339.88%,2022-01-17,7,-9.5965%
GFI, 18.50B,  11.10$,  5.29%, 13.32%,2022-01-18, 9.37%,260.44%,2022-01-25,7,-3.1532%
NI, 18.79B,  29.27$,  5.27%, 14.61%,2022-01-27, 3.48%,286.13%,2022-02-08,12,-0.8541%
EXC, 44.44B,  42.86$,  5.89%, 20.77%,2022-02-01, 4.20%,240.65%,2022-02-09,8,-1.9132%
GEN, 16.89B,  27.59$,  5.00%,  6.97%,2022-02-03, 6.31%,356.14%,2022-02-15,12,4.5306%
WES, 15.78B,  27.27$, 10.80%, 27.88%,2022-02-10, 3.15%,723.46%,2022-02-14,4,-4.8405%
ABNB, 79.78B, 186.64$, 18.26%, 16.66%,2022-02-15, 4.47%,282.04%,2022-02-21,6,-11.4659%
LDOS, 17.48B, 101.84$, 12.90%,  5.45%,2022-02-27, 4.36%,234.79%,2022-03-09,10,1.1587%
LMT,104.81B, 433.80$, 10.53%, 19.00%,2022-02-27, 4.61%,215.69%,2022-03-09,10,2.4343%
NOC, 73.41B, 442.14$, 14.30%, 18.72%,2022-02-27, 6.29%,208.84%,2022-03-09,10,0.5586%
NTR, 24.71B,  85.99$, 15.03%, 29.48%,2022-02-27, 5.21%,239.18%,2022-03-15,16,9.1057%
RS, 15.59B, 190.87$, 15.76%, 22.05%,2022-02-27, 4.76%,211.54%,2022-03-07,8,-4.6419%
RTX,180.26B, 102.70$,  9.40%, 17.23%,2022-02-27, 3.58%,208.17%,2022-03-06,7,-4.3914%
ACI, 12.26B,  31.40$,  9.33%, 14.08%,2022-02-28, 3.28%,256.30%,2022-03-17,17,12.0064%
OXY, 46.75B,  46.79$, 16.37%, 52.70%,2022-02-28, 5.26%,287.53%,2022-03-14,14,16.5420%
