Date,Action,Ticker,Current Cash,Holding Value,Portfolio Value
2022-01-03,Buy,F,0.00,100.29,100.29
2022-01-06,No Cash,AEG,0.00,100.29,100.29
2022-01-10,No Cash,ILMN,0.00,100.29,100.29
2022-01-18,Sell,F,100.29,0.00,100.29
2022-01-18,Buy,GFI,0.00,97.13,97.13
2022-01-27,Sell,GFI,97.13,0.00,97.13
2022-01-27,Buy,NI,0.00,96.30,96.30
2022-02-01,No Cash,EXC,0.00,96.30,96.30
2022-02-03,No Cash,GEN,0.00,96.30,96.30
2022-02-10,Sell,NI,96.30,0.00,96.30
2022-02-10,Buy,WES,0.00,91.63,91.63
2022-02-15,Sell,WES,91.63,0.00,91.63
2022-02-15,Buy,ABNB,0.00,81.13,81.13
2022-02-27,Sell,ABNB,81.13,0.00,81.13
2022-02-27,Buy,LDOS,67.61,13.68,81.28
2022-02-27,Buy,LMT,54.09,27.53,81.61
2022-02-27,Buy,NOC,40.56,41.13,81.69
2022-02-27,Buy,NTR,27.04,55.88,82.92
2022-02-27,Buy,RS,13.52,68.77,82.29
2022-02-27,Buy,RTX,0.00,81.70,81.70
2022-02-28,Buy,ACI,0.00,81.70,81.70
2022-02-28,Buy,OXY,0.00,81.70,81.70
2022-03-02,No Cash,KR,0.00,81.70,81.70
2022-03-06,No Cash,NTR,0.00,81.70,81.70
2022-03-06,No Cash,TS,0.00,81.70,81.70
2022-03-07,Sell,RTX,12.93,68.77,81.70
2022-03-07,Buy,CLH,0.00,82.31,82.31
2022-03-08,Sell,RS,12.89,69.42,82.31
2022-03-08,Buy,CCJ,6.45,75.37,81.82
2022-03-08,Buy,OXY,0.00,81.49,81.49
2022-03-15,Sell,LDOS,13.68,40.36,54.04
2022-03-15,Sell,LMT,27.53,40.36,67.89
2022-03-15,Sell,NOC,41.13,40.36,81.49
2022-03-15,Sell,OXY,47.24,28.29,75.53
2022-03-15,Sell,CCJ,53.20,28.29,81.49
2022-03-15,Buy,JBHT,0.00,79.14,79.14
2022-03-17,Sell,NTR,14.75,64.39,79.14
2022-03-17,Buy,STLD,0.00,79.13,79.13
2022-03-30,Sell,ACI,0.00,79.13,79.13
2022-03-30,Sell,CLH,13.54,65.59,79.13
2022-03-30,Sell,JBHT,64.39,14.74,79.13
2022-03-30,Sell,STLD,79.13,0.00,79.13
2022-03-30,Buy,FLEX,0.00,73.33,73.33
2022-03-31,No Cash,SBS,0.00,73.33,73.33
2022-04-07,Sell,FLEX,73.33,0.00,73.33
2022-04-07,Buy,EBR,0.00,70.97,70.97
2022-04-26,Sell,EBR,70.97,0.00,70.97
2022-04-26,Buy,AMCR,0.00,69.08,69.08
2022-05-03,Sell,AMCR,69.08,0.00,69.08
2022-05-03,Buy,AMCR,0.00,67.03,67.03
2022-05-30,Sell,AMCR,67.03,0.00,67.03
2022-05-30,Buy,CIB,0.00,62.37,62.37
2022-06-23,Sell,CIB,62.37,0.00,62.37
2022-06-23,Buy,BJ,41.58,21.91,63.49
2022-06-23,Buy,PFGC,20.79,43.44,64.23
2022-06-23,Buy,RPRX,-0.00,63.92,63.92
2022-07-27,Sell,BJ,21.91,42.01,63.92
2022-07-27,Sell,RPRX,42.39,21.53,63.92
2022-07-27,Buy,CEG,0.00,73.81,73.81
2022-07-28,No Cash,FSLR,0.00,73.81,73.81
2022-08-02,Sell,PFGC,21.53,52.28,73.81
2022-08-02,Buy,EHC,10.77,62.96,73.73
2022-08-02,Buy,ESLT,0.00,73.41,73.41
2022-08-03,No Cash,SFM,0.00,73.41,73.41
2022-08-09,No Cash,FWONK,0.00,73.41,73.41
2022-09-07,Sell,CEG,52.28,21.14,73.41
2022-09-07,Sell,EHC,62.96,10.45,73.41
2022-09-07,Sell,ESLT,73.41,0.00,73.41
2022-09-07,Buy,REGN,0.00,70.91,70.91
2022-09-21,Sell,REGN,70.91,0.00,70.91
2022-09-21,Buy,BBDO,0.00,67.43,67.43
2022-10-02,Sell,BBDO,67.43,0.00,67.43
2022-10-02,Buy,BBDO,33.71,31.68,65.39
2022-10-02,Buy,SBS,0.00,63.79,63.79
2022-10-13,Sell,BBDO,31.68,32.11,63.79
2022-10-13,Sell,SBS,63.79,0.00,63.79
2022-10-13,Buy,NTNX,0.00,65.38,65.38
2022-10-17,No Cash,LMT,0.00,65.38,65.38
2022-10-27,No Cash,GILD,0.00,65.38,65.38
2022-11-01,No Cash,SMCI,0.00,65.38,65.38
2022-11-01,No Cash,UTHR,0.00,65.38,65.38
2022-11-08,Sell,NTNX,65.38,0.00,65.38
2022-11-08,Buy,AXON,32.69,34.99,67.69
2022-11-08,Buy,SFM,0.00,68.16,68.16
2022-11-09,No Cash,FICO,0.00,68.16,68.16
2022-11-09,No Cash,TPG,0.00,68.16,68.16
2022-11-10,No Cash,TPG,0.00,68.16,68.16
2022-11-16,No Cash,QSR,0.00,68.16,68.16
2022-11-21,Sell,SFM,33.17,34.99,68.16
2022-11-21,Buy,DKS,0.00,67.45,67.45
2022-11-29,Sell,AXON,34.99,32.46,67.45
2022-11-29,Buy,EIX,17.50,49.54,67.04
2022-11-29,Buy,ERIE,0.00,66.39,66.39
2022-12-05,Sell,DKS,32.46,17.09,49.54
2022-12-05,Sell,ERIE,49.31,17.09,66.39
2022-12-05,Buy,SNY,0.00,64.80,64.80
2022-12-12,No Cash,MRNA,0.00,64.80,64.80
2022-12-15,No Cash,UHS,0.00,64.80,64.80
