Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
FCNCA, 25.30B, 895.61$, 38.55%, 17.30%,2023-03-26, 3.08%,1249.13%,2023-04-24,29,10.5459%
CMG, 67.57B,  40.20$, 15.53%, 28.56%,2023-04-25, 4.57%,460.74%,2023-05-22,27,1.8489%
GIB, 22.49B, 101.31$,  3.75%, 17.98%,2023-04-25, 2.69%,131.47%,2023-05-03,8,-2.0037%
ADBE,173.92B, 415.39$, 15.33%, 19.40%,2023-05-25, 4.49%,159.43%,2023-07-05,41,15.8646%
ETN,113.23B, 182.46$,  6.62%, 15.42%,2023-05-25, 2.46%,106.27%,2023-07-25,61,11.2792%
MRVL, 58.00B,  65.51$, 51.67%, 53.15%,2023-05-25,10.44%,638.60%,2023-06-20,26,-10.1664%
BA,135.11B, 232.80$,  9.04%, 18.81%,2023-07-25, 4.57%,338.82%,2023-08-14,20,-0.2320%
RPM, 15.00B, 104.05$, 14.87%, 16.69%,2023-07-25, 5.82%,266.10%,2023-08-14,20,-0.9611%
XPEV, 19.25B,  19.46$, 37.49%, 96.00%,2023-07-25, 9.35%,785.60%,2023-08-07,13,-8.8900%
AR, 13.00B,  29.47$,  9.89%, 18.41%,2023-10-25, 6.82%,108.92%,2023-11-06,11,-5.8704%
GGAL, 11.37B,  16.82$, 33.62%, 22.03%,2023-11-26, 4.40%,434.28%,2023-12-14,18,-2.1998%
PKG, 17.90B, 158.70$,  2.41%, 11.88%,2023-11-26, 2.84%,165.23%,2023-12-11,15,1.9156%
AXP,195.51B, 201.43$,  8.14%, 22.71%,2024-01-25, 4.41%,326.18%,2024-03-14,49,8.4546%
BAH, 13.15B, 146.38$, 14.17%, 27.50%,2024-01-25, 4.42%,207.00%,2024-03-07,42,0.5192%
EME, 18.16B, 274.88$, 13.23%, 32.76%,2024-02-25, 2.01%,273.24%,2024-04-08,43,28.0195%
LI, 28.28B,  41.34$, 34.69%, 17.06%,2024-02-25, 5.66%,388.37%,2024-03-05,9,-8.3938%
BALL, 14.37B,  69.80$,  5.57%, 23.35%,2024-04-25, 4.73%,140.88%,2024-05-22,27,-1.7765%
RMD, 32.69B, 218.06$, 16.18%, 26.52%,2024-04-25, 6.90%,325.52%,2024-05-22,27,-2.9717%
FDX, 58.18B, 296.19$, 17.45%, 16.12%,2024-06-25, 2.62%,508.12%,2024-07-22,27,1.5564%
CHTR, 54.15B, 367.62$, 18.35%, 11.68%,2024-07-25, 2.69%,268.10%,2024-08-11,17,-4.5863%
KNSL, 11.23B, 443.29$, 14.93%,  9.06%,2024-07-25, 7.50%,171.54%,2024-09-02,39,6.9706%
MMM, 82.79B, 127.16$, 22.49%, 42.99%,2024-07-25,11.38%,494.11%,2024-09-05,42,1.1324%
NSC, 53.23B, 247.22$, 11.38%,  7.48%,2024-07-25, 2.11%,138.22%,2024-08-08,14,-3.0742%
BEKE, 24.96B,  19.69$, 33.07%, 32.97%,2024-09-25, 4.01%,547.37%,2024-10-14,19,6.3992%
SCCO, 78.02B, 119.71$, 18.51%, 20.41%,2024-09-25, 2.57%,108.15%,2024-10-07,12,-6.0782%
TCOM, 41.51B,  56.68$, 17.84%, 25.90%,2024-09-25, 3.32%,438.56%,2024-10-14,19,2.3641%
UAL, 25.51B,  58.85$, 20.38%, 27.64%,2024-09-25, 5.56%,150.87%,2024-12-08,73,63.1606%
CIB, 10.66B,  36.88$, 12.68%, 11.76%,2025-01-26, 3.74%,352.54%,2025-03-02,35,10.7375%
XPEV, 19.25B,  21.99$, 30.50%,102.76%,2025-02-25, 5.68%,126.26%,2025-03-17,20,2.9559%
AVERAGE,,,,,,,,,27.69,4.0179%
