Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
FCNCA, 25.30B, 895.61$, 38.55%, 17.30%,2023-03-26, 3.08%,1249.13%,2023-04-24,29,10.5459%
BCH, 13.63B,  20.53$,  4.52%,  5.82%,2023-04-25, 4.29%,121.40%,2023-05-15,20,6.5270%
CMG, 67.57B,  40.20$, 15.53%, 28.56%,2023-04-25, 4.57%,460.74%,2023-05-22,27,1.8489%
GIB, 22.49B, 101.31$,  3.75%, 17.98%,2023-04-25, 2.69%,131.47%,2023-05-03,8,-2.0037%
SONY,153.74B,  18.76$,  4.15%, 15.42%,2023-04-25, 1.36%,133.90%,2023-04-27,2,-4.4132%
ADBE,173.92B, 415.39$, 15.33%, 19.40%,2023-05-25, 4.49%,159.43%,2023-07-05,41,15.8646%
CLS, 10.38B,  12.85$, 15.17%, 13.23%,2023-05-25, 8.79%,128.16%,2023-08-15,82,64.0467%
ETN,113.23B, 182.46$,  6.62%, 15.42%,2023-05-25, 2.46%,106.27%,2023-07-25,61,11.2792%
OEF, 10.79B, 196.54$,  2.85%,  9.40%,2023-05-25, 1.33%,105.25%,2023-06-25,31,2.5440%
UMC, 16.75B,   8.66$,  7.88%, 17.76%,2023-05-25, 5.77%,140.70%,2023-06-20,26,-1.5012%
APH, 82.97B,  44.30$,  5.10%, 13.33%,2023-07-25, 3.92%,101.19%,2023-08-10,16,-1.5688%
BA,135.11B, 232.80$,  9.04%, 18.81%,2023-07-25, 4.57%,338.82%,2023-08-14,20,-0.2320%
OTIS, 40.60B,  90.73$,  3.14%, 11.78%,2023-07-25, 5.29%,130.29%,2023-08-03,9,-2.4468%
RPM, 15.00B, 104.05$, 14.87%, 16.69%,2023-07-25, 5.82%,266.10%,2023-08-14,20,-0.9611%
SAN,105.54B,   4.06$,  8.41%, 21.87%,2023-07-25, 1.72%,163.47%,2023-07-31,6,-3.6946%
AR, 13.00B,  29.47$,  9.89%, 18.41%,2023-10-25, 6.82%,108.92%,2023-11-06,11,-5.8704%
DPZ, 15.88B, 387.07$,  6.06%, 11.47%,2023-11-26, 4.23%,110.99%,2024-01-02,37,3.4593%
GGAL, 11.37B,  16.82$, 33.62%, 22.03%,2023-11-26, 4.40%,434.28%,2023-12-14,18,-2.1998%
PKG, 17.90B, 158.70$,  2.41%, 11.88%,2023-11-26, 2.84%,165.23%,2023-12-11,15,1.9156%
AXP,195.51B, 201.43$,  8.14%, 22.71%,2024-01-25, 4.41%,326.18%,2024-03-14,49,8.4546%
BAH, 13.15B, 146.38$, 14.17%, 27.50%,2024-01-25, 4.42%,207.00%,2024-03-07,42,0.5192%
EME, 18.16B, 274.88$, 13.23%, 32.76%,2024-02-25, 2.01%,273.24%,2024-04-08,43,28.0195%
LI, 28.28B,  41.34$, 34.69%, 17.06%,2024-02-25, 5.66%,388.37%,2024-03-05,9,-8.3938%
SFM, 14.85B,  60.34$, 15.57%, 43.00%,2024-02-25, 1.49%,184.75%,2024-03-18,22,1.3424%
SNX, 10.60B, 112.27$,  7.50%, 12.55%,2024-03-25, 5.44%,175.86%,2024-04-11,17,0.7838%
BALL, 14.37B,  69.80$,  5.57%, 23.35%,2024-04-25, 4.73%,140.88%,2024-05-22,27,-1.7765%
RMD, 32.69B, 218.06$, 16.18%, 26.52%,2024-04-25, 6.90%,325.52%,2024-05-22,27,-2.9717%
FDX, 58.18B, 296.19$, 17.45%, 16.12%,2024-06-25, 2.62%,508.12%,2024-07-22,27,1.5564%
CHTR, 54.15B, 367.62$, 18.35%, 11.68%,2024-07-25, 2.69%,268.10%,2024-08-11,17,-4.5863%
KNSL, 11.23B, 443.29$, 14.93%,  9.06%,2024-07-25, 7.50%,171.54%,2024-09-02,39,6.9706%
NSC, 53.23B, 247.22$, 11.38%,  7.48%,2024-07-25, 2.11%,138.22%,2024-08-08,14,-3.0742%
SSNC, 20.66B,  72.29$, 11.27%, 19.79%,2024-07-25, 1.78%,199.44%,2024-08-04,10,-4.1914%
BEKE, 24.96B,  19.69$, 33.07%, 32.97%,2024-09-25, 4.01%,547.37%,2024-10-14,19,6.3992%
FCX, 59.89B,  51.91$, 18.73%, 15.35%,2024-09-25, 1.58%,158.72%,2024-10-07,12,-6.3957%
MFC, 54.09B,  29.63$,  5.63%, 19.99%,2024-09-25, 1.28%,224.97%,2024-10-20,25,1.3837%
SCCO, 78.02B, 119.71$, 18.51%, 20.41%,2024-09-25, 2.57%,108.15%,2024-10-07,12,-6.0782%
TCOM, 41.51B,  56.68$, 17.84%, 25.90%,2024-09-25, 3.32%,438.56%,2024-10-14,19,2.3641%
UAL, 25.51B,  58.85$, 20.38%, 27.64%,2024-09-25, 5.56%,150.87%,2024-12-08,73,63.1606%
XPEV, 19.25B,  11.67$, 30.11%, 29.75%,2024-09-25, 1.46%,113.83%,2024-10-13,18,-0.2571%
