Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
FCNCA, 25.30B, 895.61$, 38.55%, 17.30%,2023-03-26, 3.08%,1249.13%,2023-04-13,18,9.0854%
BCH, 13.63B,  20.53$,  4.52%,  5.82%,2023-04-25, 4.29%,121.40%,2023-05-15,20,6.5270%
CMG, 67.57B,  40.20$, 15.53%, 28.56%,2023-04-25, 4.57%,460.74%,2023-05-08,13,1.1349%
GIB, 22.49B, 101.31$,  3.75%, 17.98%,2023-04-25, 2.69%,131.47%,2023-05-03,8,-2.0037%
ADBE,173.92B, 415.39$, 15.33%, 19.40%,2023-05-25, 4.49%,159.43%,2023-06-25,31,15.4361%
CLS, 10.38B,  12.85$, 15.17%, 13.23%,2023-05-25, 8.79%,128.16%,2023-06-27,33,10.9728%
ETN,113.23B, 182.46$,  6.62%, 15.42%,2023-05-25, 2.46%,106.27%,2023-06-27,33,6.7357%
UMC, 16.75B,   8.66$,  7.88%, 17.76%,2023-05-25, 5.77%,140.70%,2023-06-04,10,-5.6582%
APH, 82.97B,  44.30$,  5.10%, 13.33%,2023-07-25, 3.92%,101.19%,2023-08-03,9,-1.4673%
BA,135.11B, 232.80$,  9.04%, 18.81%,2023-07-25, 4.57%,338.82%,2023-08-10,16,1.2543%
OTIS, 40.60B,  90.73$,  3.14%, 11.78%,2023-07-25, 5.29%,130.29%,2023-08-03,9,-2.4468%
RPM, 15.00B, 104.05$, 14.87%, 16.69%,2023-07-25, 5.82%,266.10%,2023-08-07,13,-0.3364%
AR, 13.00B,  29.47$,  9.89%, 18.41%,2023-10-25, 6.82%,108.92%,2023-11-05,10,-1.7306%
DPZ, 15.88B, 387.07$,  6.06%, 11.47%,2023-11-26, 4.23%,110.99%,2024-01-02,37,3.4593%
GGAL, 11.37B,  16.82$, 33.62%, 22.03%,2023-11-26, 4.40%,434.28%,2023-12-14,18,-2.1998%
PKG, 17.90B, 158.70$,  2.41%, 11.88%,2023-11-26, 2.84%,165.23%,2023-12-07,11,3.2640%
AXP,195.51B, 201.43$,  8.14%, 22.71%,2024-01-25, 4.41%,326.18%,2024-02-20,26,4.6964%
BAH, 13.15B, 146.38$, 14.17%, 27.50%,2024-01-25, 4.42%,207.00%,2024-02-20,26,-1.0179%
EME, 18.16B, 274.88$, 13.23%, 32.76%,2024-02-25, 2.01%,273.24%,2024-04-08,43,28.0195%
LI, 28.28B,  41.34$, 34.69%, 17.06%,2024-02-25, 5.66%,388.37%,2024-03-03,7,-9.0469%
SNX, 10.60B, 112.27$,  7.50%, 12.55%,2024-03-25, 5.44%,175.86%,2024-04-09,15,2.3604%
BALL, 14.37B,  69.80$,  5.57%, 23.35%,2024-04-25, 4.73%,140.88%,2024-05-09,14,-0.9169%
RMD, 32.69B, 218.06$, 16.18%, 26.52%,2024-04-25, 6.90%,325.52%,2024-05-09,14,-1.9444%
FDX, 58.18B, 296.19$, 17.45%, 16.12%,2024-06-25, 2.62%,508.12%,2024-07-09,14,-0.9859%
CHTR, 54.15B, 367.62$, 18.35%, 11.68%,2024-07-25, 2.69%,268.10%,2024-08-05,11,-2.9487%
KNSL, 11.23B, 443.29$, 14.93%,  9.06%,2024-07-25, 7.50%,171.54%,2024-08-27,33,8.8159%
NSC, 53.23B, 247.22$, 11.38%,  7.48%,2024-07-25, 2.11%,138.22%,2024-08-06,12,-2.9286%
BEKE, 24.96B,  19.69$, 33.07%, 32.97%,2024-09-25, 4.01%,547.37%,2024-10-08,13,9.7511%
SCCO, 78.02B, 119.71$, 18.51%, 20.41%,2024-09-25, 2.57%,108.15%,2024-10-07,12,-6.0782%
TCOM, 41.51B,  56.68$, 17.84%, 25.90%,2024-09-25, 3.32%,438.56%,2024-10-07,12,8.4686%
UAL, 25.51B,  58.85$, 20.38%, 27.64%,2024-09-25, 5.56%,150.87%,2024-12-02,67,62.7698%
CIB, 10.66B,  36.88$, 12.68%, 11.76%,2025-01-26, 3.74%,352.54%,2025-02-26,31,13.1779%
XPEV, 19.25B,  21.99$, 30.50%,102.76%,2025-02-25, 5.68%,126.26%,2025-03-17,20,2.9559%
AVERAGE,,,,,,,,,19.97,4.7629%
