Rank,Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,IDAI,581.66,99,99,32,1
2,WHLRL,567.16,99,98,91,58
3,JL,544.29,99,99,99,2
4,BCTX,539.79,99,99,3,3
5,AMPGW,519.8,99,99,99,6
6,SXTC,489.75,99,92,2,2
7,OMH,484.55,99,7,5,4
8,PSIX,483.72,99,99,99,99
9,KUKE,483.12,99,3,1,6
10,QBTS,473.38,99,99,99,19
11,CTM,467.96,99,99,98,8
12,JYD,466.9,99,99,99,24
13,GRRR,460.73,99,99,99,25
14,DATSW,441.24,99,99,87,13
15,LX,438.86,99,99,99,91
16,JAGX,435.24,99,3,3,0
17,LIDRW,431.54,99,99,98,5
18,PTIR,423.93,99,99,99,94
19,KC,415.97,99,99,99,21
20,MNDR,409.91,99,17,0,1
21,YOSH,409.51,99,98,7,98
22,NUTX,408.99,99,99,98,98
23,KULR,397.87,99,99,99,15
24,WGS,396.13,99,99,99,99
25,TOI,389.16,99,99,2,2
26,AMBR,385.86,99,99,99,98
27,KNW,370.49,99,99,2,10
28,UAMY,370.28,99,99,99,99
29,TECX,365.99,99,89,98,98
30,AZ,353.94,99,99,99,95
31,MLGO,351.59,99,7,0,0
32,RETO,350.74,99,3,5,4
33,PDYN,345.05,99,99,99,96
34,RCAT,340.69,99,99,99,99
35,XCUR,337.13,99,98,99,96
36,GATEW,336.51,99,98,94,95
37,OCFT,336.49,99,98,95,19
38,ASTS,333.79,99,99,99,99
39,EXOD,333.23,99,99,99,99
40,ROOT,329.06,99,99,98,98
41,VNET,326.23,99,99,93,98
42,DOMH,324.22,99,99,5,14
43,HSAI,319.99,99,99,98,13
44,DBVT,318.11,99,99,99,5
45,INOD,315.81,99,99,99,97
46,NAK,314.5,99,97,95,37
47,NUKK,311.21,99,99,99,3
48,LAES,310.63,99,99,99,2
49,STIM,310.41,99,99,41,2
50,TMQ,310.02,99,98,98,28
51,CNL,309.97,99,98,92,80
52,UMAC,308.6,99,99,99,15
53,GMM,304.35,99,99,99,4
54,UPC,294.26,99,0,0,0
55,LTBR,291.52,99,99,93,11
56,XNET,284.86,99,97,84,68
57,RPID,280.61,99,99,68,55
58,LNSR,275.63,99,97,98,84
59,VRNA,275.34,99,99,98,97
60,MFH,274.34,99,99,99,33
61,NEON,273.83,99,99,99,99
62,APP,270.81,99,99,99,99
63,AGFY,268.96,99,99,99,2
64,DXYZ,268.2,99,99,99,14
65,MEGL,267.65,99,99,20,11
66,PULM,266.92,99,99,99,64
67,NNE,266.75,99,99,99,98
68,ETON,266.47,99,99,99,95
69,JFBR,266.0,99,99,99,5
70,RKLB,261.99,99,99,99,99
71,LXEH,260.48,99,99,93,5
72,PRCH,258.34,99,97,98,34
73,PLTR,258.0,99,99,99,98
74,NTRBW,258.0,99,99,99,98
75,OPFI,256.84,99,98,97,96
76,EOSE,255.68,99,99,99,98
77,ATER,255.13,99,97,97,99
78,OKLO,252.38,99,99,98,20
79,CNVS,250.96,99,99,99,29
80,LENZ,249.53,99,98,99,99
81,IBIO,247.29,99,97,94,18
82,CPIX,245.91,99,99,94,10
83,TMCWW,243.36,99,98,8,8
84,OPTT,240.75,99,99,95,4
85,SATL,240.36,99,98,98,15
86,WAVE,239.65,99,99,99,99
87,MESO,238.88,99,99,99,98
88,TRVG,237.65,99,98,75,7
89,LB,236.91,99,97,98,97
90,ZKIN,236.39,99,99,87,8
91,COEP,236.39,99,98,5,2
92,XTKG,235.95,99,99,99,1
93,STEC,235.93,99,98,84,3
94,FUBO,235.49,99,99,22,15
95,JG,235.2,99,99,96,99
96,BABX,232.82,99,98,45,98
97,NIU,232.25,99,90,28,67
98,XYF,231.95,98,98,96,93
99,COMM,228.55,98,98,98,99
100,JZXN,228.35,98,98,5,0
101,RR,227.93,98,98,95,3
102,JXG,227.87,98,96,5,96
103,NXL,225.93,98,99,99,17
104,TBRG,225.62,98,98,96,58
105,SMMT,225.15,98,98,99,99
106,VIOT,223.81,98,95,94,98
107,VVPR,223.46,98,5,49,6
108,AMPX,222.37,98,96,93,4
109,ALLT,220.79,98,98,98,93
110,CTEV,219.83,98,99,3,1
111,CRVO,219.7,98,0,0,97
112,KINS,218.88,98,98,99,99
113,IONQ,218.58,98,99,99,38
114,SRRK,218.12,98,98,99,15
115,CLOV,217.76,98,98,98,99
116,PVLA,216.07,98,94,24,86
117,GV,215.74,98,6,6,34
118,GDS,215.44,98,99,97,99
119,XERS,214.41,98,93,93,92
120,REBN,213.44,98,98,5,28
121,ALHC,213.4,98,96,91,97
122,CURI,212.81,98,99,93,99
123,JUNE,211.56,98,20,25,64
124,ADUR,210.9,98,98,99,99
125,AMBO,210.2,98,96,81,11
126,MRT,210.16,98,98,99,98
127,QURE,209.42,98,98,99,22
128,XPEV,208.39,98,98,89,90
129,ESGL,208.38,98,79,93,99
130,MVST,207.09,98,99,99,2
131,SEZL,206.9,98,99,99,99
132,ASM,205.76,98,97,85,97
133,TDUP,204.45,98,98,81,2
134,LTRY,204.16,98,98,4,2
135,TUYA,204.08,98,98,56,24
136,CRNC,203.58,98,99,97,4
137,FOA,203.3,98,98,99,96
138,SPCB,202.54,98,99,15,13
139,TBMCR,202.46,98,97,97,94
140,BGM,202.33,98,98,98,99
141,CADL,200.93,98,99,99,99
142,GRAL,200.47,98,99,91,32
143,ORLA,200.43,98,97,93,53
144,ATHE,200.07,98,99,94,7
145,UBXG,199.6,98,99,98,0
146,COMP,198.87,98,98,93,98
147,CYD,198.36,98,98,29,91
148,TKNO,197.98,98,98,99,99
149,AUR,197.77,98,98,97,98
150,WLFC,196.99,98,98,99,99
