Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
AVTR, 11.23B,  25.60$, 19.53%, 12.74%,2024-07-25, 5.82%,216.97%
CHTR, 53.26B, 367.62$, 18.35%, 11.68%,2024-07-25, 2.69%,268.10%
FTAI, 11.99B, 112.63$,  8.25%, 78.11%,2024-07-25, 2.34%,114.20%
KB, 20.94B,  64.56$,  7.11%, 32.21%,2024-07-25, 2.99%,169.07%
KNSL, 11.31B, 443.29$, 14.93%,  9.06%,2024-07-25, 7.50%,171.54%
MMM, 83.34B, 127.16$, 22.49%, 42.99%,2024-07-25,11.38%,494.11%
NWG, 48.98B,   9.53$, 11.56%, 44.86%,2024-07-25, 2.20%,101.47%
SSNC, 20.53B,  72.29$, 11.27%, 19.79%,2024-07-25, 1.78%,199.44%
TYL, 24.96B, 590.65$, 13.59%, 34.37%,2024-07-25, 3.34%,145.41%
UHS, 11.80B, 213.69$, 14.94%, 31.63%,2024-07-25, 1.92%,111.11%
