Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Sell Date,Holding Duration,Profit
BAP, 15.23B,2025-01-14, 187.83$,  3.33,  1.83,5,17,  1.00,  1.07,  1.09,  1.06,  1.08,  1.02,  1.01,N/A,N/A,N/A
CQP, 30.83B,2025-01-14,  58.20$,  3.14,  1.94,3650,22,  1.09,  1.17,  1.20,  1.08,  1.10,  1.02,  1.02,N/A,N/A,N/A
EXE, 25.55B,2025-01-14, 103.52$,  1.69,  1.55,3650,14,  1.08,  1.23,  1.22,  1.14,  1.13,  0.99,  1.02,N/A,N/A,N/A
FITB, 26.70B,2025-01-14,  42.89$,  1.73,  1.53,5,2,  0.96,  1.03,  1.07,  1.08,  1.12,  1.04,  1.02,N/A,N/A,N/A
LNG, 51.83B,2025-01-14, 242.53$,  5.26,  2.02,3650,45,  1.14,  1.28,  1.34,  1.12,  1.17,  1.04,  1.04,N/A,N/A,N/A
MKL, 23.87B,2025-01-14,1721.00$,  2.83,  1.91,8,14,  1.01,  1.07,  1.08,  1.06,  1.07,  1.01,  1.02,N/A,N/A,N/A
ONC, 29.56B,2025-01-14, 200.99$,  4.72,  2.12,23,22,  1.05,  1.07,  1.12,  1.02,  1.07,  1.05,  1.01,N/A,N/A,N/A
RYAN, 18.92B,2025-01-14,  66.21$,  2.16,  1.55,18,1,  0.97,  1.02,  1.08,  1.06,  1.11,  1.05,  1.02,N/A,N/A,N/A
UI, 19.20B,2025-01-14, 392.94$,  7.01,  2.51,3650,43,  1.18,  1.66,  1.89,  1.41,  1.60,  1.14,  1.14,N/A,N/A,N/A
WMB, 73.88B,2025-01-14,  57.54$,  2.35,  1.61,33,14,  1.05,  1.21,  1.27,  1.15,  1.21,  1.05,  1.05,N/A,N/A,N/A
