Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
ATO, 23.96B,2025-03-07, 148.60$,  1.57,  1.54,3,50,  1.04,  1.07,  1.12,  1.03,  1.08,  1.04,  1.03,0.664,2025-03-11,4,0.0404%
AWK, 27.89B,2025-03-07, 145.40$,  4.53,  2.16,113,15,  1.15,  1.08,  1.09,  0.94,  0.95,  1.01,  1.01,0.681,2025-03-19,12,-2.3040%
BK, 61.09B,2025-03-07,  85.84$,  1.78,  1.61,2,5,  1.03,  1.13,  1.20,  1.10,  1.16,  1.06,  1.05,1.051,2025-03-10,3,-1.8639%
CHKP, 25.07B,2025-03-07, 230.20$,  2.78,  2.29,3650,25,  1.13,  1.19,  1.24,  1.05,  1.10,  1.04,  1.04,0.619,2025-03-12,5,-5.3041%
DUOL, 14.99B,2025-03-07, 295.56$,  8.16,  2.38,5,4,  0.83,  0.98,  1.08,  1.18,  1.30,  1.10,  1.07,0.922,2025-03-10,3,-6.2187%
FAST, 44.57B,2025-03-07,  79.98$,  3.16,  1.64,60,24,  1.08,  1.09,  1.12,  1.00,  1.04,  1.03,  1.01,1.04,2025-03-12,5,-4.9887%
GFI, 18.76B,2025-03-07,  20.19$,  2.23,  1.52,3650,5,  1.21,  1.28,  1.29,  1.06,  1.07,  1.00,  1.02,0.765,2025-03-24,17,1.8821%
GFL, 18.20B,2025-03-07,  46.83$,  1.86,  1.61,2,1,  1.05,  1.09,  1.13,  1.04,  1.07,  1.04,  1.04,1.051,2025-03-13,6,-1.7937%
IBKR, 73.51B,2025-03-07, 192.17$,  2.16,  2.22,2,5,  0.94,  1.15,  1.23,  1.22,  1.31,  1.07,  1.08,0.991,2025-03-10,3,-13.0145%
ITW, 75.07B,2025-03-07, 274.48$,  3.38,  2.46,64,50,  1.07,  1.07,  1.09,  1.00,  1.02,  1.02,  1.01,1.149,2025-03-11,4,-7.1626%
JKHY, 13.08B,2025-03-07, 191.28$,  3.96,  2.15,587,21,  1.11,  1.10,  1.12,  1.00,  1.01,  1.01,  1.01,0.655,2025-03-11,4,-7.6276%
LI, 28.28B,2025-03-07,  29.02$,  2.65,  1.51,5,4,  1.16,  1.23,  1.28,  1.06,  1.10,  1.04,  1.00,0.846,2025-03-10,3,-5.0310%
OHI, 10.91B,2025-03-07,  36.89$,  2.14,  1.52,2,5,  1.00,  0.97,  1.01,  0.97,  1.01,  1.04,  1.02,0.987,2025-03-11,4,-0.6506%
OTIS, 40.85B,2025-03-07, 104.01$,  1.91,  1.91,93,8,  1.09,  1.07,  1.08,  0.99,  0.99,  1.00,  1.01,0.95,2025-03-12,5,-3.9419%
SSNC, 20.66B,2025-03-07,  85.86$,  1.58,  1.81,2,17,  1.05,  1.13,  1.18,  1.07,  1.12,  1.05,  1.04,1.362,2025-03-10,3,-3.4708%
TAP, 12.28B,2025-03-07,  61.86$,  4.36,  1.63,76,5,  1.09,  1.11,  1.13,  1.01,  1.03,  1.02,  1.00,0.825,2025-03-11,4,-2.3602%
VEEV, 38.64B,2025-03-07, 246.80$,  5.33,  2.31,60,1,  1.10,  1.14,  1.18,  1.03,  1.07,  1.03,  1.01,0.884,2025-03-13,6,-7.6985%
WMG, 17.09B,2025-03-07,  34.39$,  2.01,  2.12,8,1,  1.07,  1.11,  1.12,  1.03,  1.04,  1.01,  1.01,1.328,2025-03-11,4,-2.7624%
WSO, 20.70B,2025-03-07, 512.94$,  4.90,  1.91,11,9,  1.06,  1.05,  1.06,  0.99,  1.00,  1.01,  1.01,0.905,2025-03-13,6,-4.1759%
YUM, 44.29B,2025-03-07, 162.53$,  1.83,  1.77,3650,3,  1.18,  1.20,  1.21,  1.02,  1.03,  1.01,  1.01,1.029,2025-03-11,4,-3.5870%
ZS, 32.73B,2025-03-07, 208.76$,  1.83,  2.44,12,1,  1.07,  1.10,  1.11,  1.03,  1.04,  1.01,  1.02,0.878,2025-03-10,3,-6.7398%
AVERAGE,,,,,,,,,,,,,,,,,5.14,-4.2273% (-95.3368%)
