Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
PKG, 17.90B, 150.63$,  9.60%,  7.47%,2022-01-30, 2.23%,185.41%,2022-02-10,11,-1.8854%
SQM, 11.32B,  62.64$, 13.80%, 19.06%,2022-02-09, 6.77%,111.41%,2022-02-17,8,-1.8838%
KHC, 35.38B,  40.40$, 12.10%,  6.75%,2022-02-21, 5.08%,197.19%,2022-03-07,14,-4.3069%
SBS, 12.09B,   8.19$, 12.05%, 17.79%,2022-03-01, 2.93%,163.51%,2022-03-07,6,-1.5873%
ACM, 12.53B,  76.96$,  6.09%, 13.54%,2022-03-10, 2.55%,115.21%,2022-03-29,19,1.6632%
EBR, 16.27B,   8.41$, 18.38%, 20.96%,2022-03-31, 3.09%,147.25%,2022-04-18,18,3.6861%
SBS, 12.09B,  10.92$, 22.60%, 54.26%,2022-03-31, 5.49%,296.29%,2022-04-13,13,-2.6557%
LPLA, 25.33B, 200.32$, 10.13%, 24.10%,2022-04-10, 2.51%,239.12%,2022-04-20,10,0.8187%
T,197.94B,  19.63$,  9.73%,  1.15%,2022-04-10, 3.77%,116.09%,2022-04-24,14,-0.6113%
NUE, 29.27B, 175.59$, 12.75%, 51.06%,2022-04-20, 2.33%,131.22%,2022-04-21,1,-8.2807%
CIB, 10.66B,  44.91$, 17.87%, 26.32%,2022-05-30, 4.25%,368.72%,2022-06-07,8,-6.9472%
LI, 28.28B,  35.75$, 28.96%, 27.44%,2022-06-20, 2.04%,141.26%,2022-07-10,20,4.4196%
FSLR, 13.48B,  99.17$, 37.17%, 20.85%,2022-07-28, 8.81%,471.69%,2022-08-21,24,15.4381%
GPC, 16.50B, 152.87$,  9.26%, 15.11%,2022-07-28, 2.05%,159.23%,2022-08-21,24,2.6689%
GWW, 47.72B, 543.53$, 15.02%, 12.04%,2022-07-28, 4.33%,151.28%,2022-08-21,24,5.3208%
REGN, 69.24B, 708.85$, 15.28%, 12.06%,2022-09-07, 3.08%,471.14%,2022-09-20,13,-3.4168%
LMT,104.81B, 431.84$,  6.38%,  2.90%,2022-10-17, 6.64%,267.85%,2022-11-10,23,7.4148%
ACGL, 35.97B,  56.68$, 17.83%, 22.53%,2022-10-27, 2.61%,626.96%,2022-11-10,13,0.1588%
AME, 40.77B, 129.28$,  9.16%,  4.39%,2022-10-27, 3.16%,112.78%,2022-11-27,30,7.7970%
EG, 15.71B, 321.64$, 16.43%, 14.91%,2022-10-27, 5.57%,157.91%,2022-11-08,11,-0.4975%
EME, 18.16B, 140.03$, 12.25%, 23.13%,2022-10-27, 3.17%,113.48%,2022-11-27,30,9.1266%
GILD,136.83B,  79.27$, 18.84%, 25.79%,2022-10-27, 6.19%,279.50%,2022-12-14,47,9.2217%
HLI, 11.71B,  89.79$, 11.94%,  2.77%,2022-10-27, 3.11%,122.51%,2022-11-27,30,8.2749%
HWM, 55.35B,  36.17$,  7.99%,  4.97%,2022-10-27, 2.57%,162.80%,2022-11-01,5,-2.2947%
LPLA, 25.33B, 260.19$,  8.41%, 31.28%,2022-10-27, 5.05%,140.14%,2022-11-08,11,-0.7994%
VRSN, 23.42B, 203.37$, 12.37%,  5.84%,2022-10-27, 4.02%,114.22%,2022-11-01,5,-8.2411%
VTRS, 10.68B,  10.97$, 13.41%,  1.18%,2022-11-06, 5.74%,178.42%,2022-11-16,10,-0.0912%
QSR, 30.52B,  66.51$, 11.86%, 19.18%,2022-11-16, 4.57%,323.74%,2022-11-28,12,-2.2854%
CPB, 11.58B,  56.18$,  8.08%, 16.59%,2022-12-06, 2.44%,276.48%,2022-12-19,13,0.0000%
TOL, 10.95B,  49.50$,  7.43%,  6.02%,2022-12-06, 4.32%,161.90%,2022-12-26,20,2.1818%
UHS, 12.01B, 135.77$,  4.89%, 15.45%,2022-12-15, 3.07%,233.23%,2023-01-10,26,6.5626%
GGAL, 11.37B,  11.10$, 27.15%, 33.25%,2023-01-05, 4.50%,185.92%,2023-01-26,21,19.2793%
IDXX, 33.94B, 447.77$,  7.49%, 13.73%,2023-01-05, 4.86%,147.62%,2023-01-29,24,7.8567%
MT, 23.99B,  28.74$,  7.82%, 11.11%,2023-01-05, 2.99%,148.70%,2023-01-30,25,7.6548%
TKO, 12.72B,  84.27$, 16.00%, 23.18%,2023-01-05, 5.01%,1065.52%,2023-01-22,17,4.9009%
