Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
KHC, 35.38B,  40.40$,12.10%,6.75%,2022-02-21,5.08%,197.19%,2022-03-09,16,-7.08%
SBS, 12.09B,   8.19$,12.05%,17.79%,2022-03-01,2.93%,163.51%,2022-04-18,48,25.52%
SBS, 12.09B,  10.92$,22.60%,54.26%,2022-03-31,5.49%,296.29%,2022-04-18,18,-5.86%
LPLA, 25.33B, 200.32$,10.13%,24.10%,2022-04-10,2.51%,239.12%,2022-04-20,10,0.82%
CIB, 10.66B,  44.91$,17.87%,26.32%,2022-05-30,4.25%,368.72%,2022-06-07,8,-6.95%
FSLR, 13.48B,  99.17$,37.17%,20.85%,2022-07-28,8.81%,471.69%,2022-09-22,56,30.94%
GWW, 47.72B, 543.53$,15.02%,12.04%,2022-07-28,4.33%,151.28%,2022-08-25,28,4.18%
REGN, 69.24B, 708.85$,15.28%,12.06%,2022-09-07,3.08%,471.14%,2022-10-18,41,0.07%
LMT,104.81B, 431.84$,6.38%,2.90%,2022-10-17,6.64%,267.85%,2022-11-10,23,7.41%
ACGL, 35.97B,  56.68$,17.83%,22.53%,2022-10-27,2.61%,626.96%,2023-01-19,83,10.20%
EG, 15.71B, 321.64$,16.43%,14.91%,2022-10-27,5.57%,157.91%,2022-11-10,13,-4.02%
GILD,136.83B,  79.27$,18.84%,25.79%,2022-10-27,6.19%,279.50%,2022-12-14,47,9.22%
HWM, 55.35B,  36.17$,7.99%,4.97%,2022-10-27,2.57%,162.80%,2022-12-14,47,4.87%
VTRS, 10.68B,  10.97$,13.41%,1.18%,2022-11-06,5.74%,178.42%,2022-12-04,28,-0.46%
QSR, 30.52B,  66.51$,11.86%,19.18%,2022-11-16,4.57%,323.74%,2022-12-15,29,-0.78%
TOL, 10.95B,  49.50$,7.43%,6.02%,2022-12-06,4.32%,161.90%,2022-12-27,21,-0.24%
UHS, 12.01B, 135.77$,4.89%,15.45%,2022-12-15,3.07%,233.23%,2023-01-25,41,7.19%
GGAL, 11.37B,  11.10$,27.15%,33.25%,2023-01-05,4.50%,185.92%,2023-01-17,12,11.71%
TKO, 12.72B,  84.27$,16.00%,23.18%,2023-01-05,5.01%,1065.52%,2023-01-30,25,0.42%
YPF, 17.89B,  12.22$,33.92%,109.97%,2023-01-16,7.69%,160.37%,2023-01-17,1,-8.27%
URI, 41.73B, 431.48$,14.25%,38.98%,2023-01-25,3.93%,184.55%,2023-02-21,27,2.46%
ABNB, 79.78B, 137.01$,22.22%,27.19%,2023-02-14,5.12%,427.23%,2023-02-20,6,-6.01%
MLM, 29.52B, 382.80$,7.88%,12.79%,2023-02-14,3.46%,176.17%,2023-02-26,12,-5.97%
NU, 52.49B,   5.24$,16.98%,20.20%,2023-02-14,3.63%,215.39%,2023-02-20,6,-9.16%
