Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
YI,586.28,99,99,99,20,1
MVST,565.02,99,99,99,99,2
VVPR,564.63,99,99,2,8,3
MNPR,530.28,99,99,99,99,4
RGLS,473.17,99,99,30,19,5
AREN,458.13,99,99,89,89,6
TDUP,446.88,99,99,96,81,7
SEZL,432.58,99,99,96,99,8
DBVT,412.85,99,99,99,99,9
SVT,386.82,99,46,44,20,10
CURI,383.8,99,98,98,94,11
OKLO,377.39,99,96,98,98,12
UAMY,372.42,99,99,99,99,13
TSSI,362.79,99,99,99,99,14
LTBR,347.33,99,98,99,95,15
DAVE,340.31,99,98,97,99,16
PRCH,338.48,99,98,98,98,17
AGFY,320.72,99,99,98,99,18
ZKIN,320.6,99,91,99,61,19
CTM,312.37,99,99,99,91,20
PSIX,306.97,99,99,99,99,21
IONQ,299.17,99,98,96,99,22
ASM,296.92,99,99,95,88,23
PLTR,292.6,99,99,98,98,24
AGAE,286.93,99,87,80,14,25
RPID,282.05,99,97,99,59,26
ALTS,280.23,99,98,97,97,27
VRNA,278.75,99,99,99,96,28
XYF,278.63,99,99,98,95,29
RCAT,278.34,99,98,99,99,30
RKLB,275.75,99,99,99,99,31
QNTM,272.71,99,88,15,2,32
HSAI,271.94,99,99,99,96,33
PDYN,270.64,99,99,99,99,34
GRYP,269.36,99,34,1,7,35
OCFT,267.66,99,99,99,94,36
APP,267.11,99,99,98,99,37
CTMX,265.6,99,28,4,15,38
NAK,254.88,99,99,97,89,39
SPCB,249.42,99,85,98,21,40
SMR,249.41,99,94,97,99,41
SPRO,243.7,98,7,7,12,42
XNET,243.46,98,98,99,79,43
PULM,243.35,98,98,99,98,44
FTK,240.88,98,92,95,96,45
XGN,239.94,98,99,58,95,46
APLD,239.28,98,64,73,94,47
HOOD,230.93,98,97,95,97,48
KC,229.11,98,99,99,99,49
LEU,229.06,98,87,94,92,50
NAGE,229.04,98,98,99,98,51
ALLT,227.71,98,96,97,97,52
WKEY,227.11,98,95,98,41,53
ETON,227.02,98,99,98,98,54
NVTS,225.22,98,11,9,58,55
DUOT,224.99,98,96,95,91,56
JFIN,224.96,98,98,96,61,57
LX,224.74,98,99,99,99,58
OPFI,224.25,98,98,98,95,59
MBOT,224.0,98,98,92,24,60
SIEB,220.45,98,96,59,93,61
ATHE,219.49,98,98,98,87,62
BCTX,218.62,98,99,99,39,63
STIM,217.66,98,98,99,21,64
CNVS,216.62,98,97,99,99,65
KULR,213.71,98,99,99,99,66
OPRX,212.53,98,93,8,3,67
AGX,212.51,98,97,89,97,68
USAS,211.54,98,97,95,90,69
ORLA,211.27,98,99,97,85,70
XCUR,211.21,98,99,99,99,71
HIMS,210.18,98,99,97,97,72
NWTN,209.75,98,12,2,6,73
LFMD,207.73,98,87,16,18,74
IDN,207.29,98,47,46,83,75
INTZ,206.41,98,79,53,1,76
CVNA,205.86,98,94,90,98,77
CRDO,201.11,98,93,86,98,78
CANG,200.32,98,96,94,99,79
HRTG,198.32,98,98,79,57,80
ATYR,196.6,98,90,93,96,81
TIL,196.26,97,25,72,96,82
LEDS,196.1,97,96,88,19,83
PPTA,195.79,97,98,82,97,84
DUOL,195.74,97,97,78,91,85
AMPG,195.69,97,90,95,12,86
ICAD,193.28,97,97,91,66,87
ARQQ,192.83,97,95,32,97,88
GEV,191.73,97,96,92,95,89
TRVI,191.27,97,98,98,58,90
RDW,190.03,97,93,98,98,91
AP,189.49,97,83,67,67,92
MSGM,189.18,97,97,23,8,93
NEPH,188.07,97,70,28,11,94
QURE,187.85,97,94,98,74,95
PRTG,186.69,97,98,35,9,96
LYRA,186.37,97,2,10,2,97
APPS,185.31,97,91,95,3,98
RDUS,184.98,97,98,19,49,99
BBAI,184.45,97,95,96,96,100
USAU,183.7,97,97,95,90,101
THTX,183.4,97,98,79,64,102
TNXP,183.32,97,37,5,3,103
DOMH,182.93,97,99,99,13,104
EOSE,182.01,97,99,99,97,105
SKE,181.98,97,97,94,93,106
ACHR,181.48,97,97,95,95,107
HNRG,181.25,97,97,48,92,108
RGS,181.18,97,89,97,98,109
RBLX,181.01,97,93,85,81,110
LNSR,180.57,97,99,99,95,111
BKTI,179.26,97,98,94,97,112
ODD,178.85,97,96,69,74,113
FUBO,178.65,97,92,98,33,114
LMB,178.55,97,96,61,92,115
INZY,178.52,97,6,1,3,116
SSRM,178.36,97,97,97,73,117
FOA,177.6,97,98,98,98,118
AXON,175.88,97,94,90,96,119
ADPT,175.66,97,97,95,90,120
CMP,175.47,97,83,22,50,121
FARO,174.64,97,98,91,86,122
AS,174.39,96,94,94,93,123
NGD,174.19,96,97,89,87,124
NEON,172.95,96,99,99,99,125
SGHC,172.85,96,98,96,95,126
JG,172.39,96,97,98,97,127
VUZI,172.37,96,74,96,96,128
SRRK,172.29,96,95,98,99,129
GORO,172.13,96,98,98,2,130
UUU,171.25,96,80,77,88,131
THM,171.18,96,97,87,20,132
SEI,171.15,96,96,97,98,133
CLS,171.02,96,92,93,96,134
NRG,170.97,96,93,71,85,135
CRNC,170.31,96,98,98,95,136
AMBO,170.21,96,97,97,69,137
ITRG,169.93,96,98,88,47,138
INOD,169.35,96,99,99,99,139
OPOF,169.18,96,98,96,82,140
SNT,168.82,96,96,98,95,141
NET,168.59,96,89,91,83,142
MSTR,167.39,96,98,91,99,143
