Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
CME, 94.50B,2018-01-05, 115.30$,  0.65,  0.76,3650,1,  1.06,  1.16,  1.19,  1.09,  1.13,  1.03,  1.02,0.547,  1.60,  3.06,  9.22,  9.93,  1.02,2018-10-04,272,22.1075%,"20.0 gain, min: 0.00%"
CSGP, 33.45B,2018-01-05,  31.14$,  0.74,  0.63,3650,1,  1.05,  1.10,  1.16,  1.06,  1.11,  1.05,  1.04,0.931,  3.61,  4.48,  9.22,  9.93,  1.04,2018-03-20,74,20.6808%,"20.0 gain, min: 0.00%"
NDAQ, 43.08B,2018-01-05,  23.56$,  0.68,  0.96,3650,1,  1.05,  1.07,  1.10,  1.02,  1.05,  1.02,  1.01,0.971,  1.30,  4.83,  9.22,  9.93,  1.03,2018-06-06,152,20.2886%,"20.0 gain, min: -5.05%"
TYL, 24.93B,2018-01-05, 184.39$,  0.24,  0.64,3650,1,  1.04,  1.06,  1.08,  1.02,  1.04,  1.02,  1.02,0.8,  2.09,  6.66,  9.22,  9.93,  1.03,2018-04-17,102,21.4816%,"20.0 gain, min: 0.00%"
IX, 24.11B,2018-01-08,  17.92$,  0.56,  1.26,3650,3,  1.05,  1.09,  1.11,  1.04,  1.05,  1.02,  1.01,0.867,  2.08,  3.48,  9.52,  9.88,  1.04,2018-02-05,28,-1.8973%,"10.0 loss, max: 11.66%"
ROP, 62.57B,2018-01-08, 257.68$,  0.57,  1.09,3650,11,  1.04,  1.10,  1.13,  1.06,  1.09,  1.03,  1.02,1.056,  1.06,  3.44,  9.52,  9.88,  1.03,2018-10-11,276,2.3595%,"10.0 loss, max: 16.52%"
GPN, 23.98B,2018-01-09, 100.66$,  0.60,  1.35,3650,15,  1.04,  1.09,  1.12,  1.05,  1.08,  1.03,  1.02,1.047,  0.60,  4.75, 10.08,  9.87,  1.03,2018-02-08,30,-4.0234%,"10.0 loss, max: 8.07%"
IEX, 13.67B,2018-01-09, 124.54$,  0.58,  0.95,3650,1,  1.04,  1.12,  1.17,  1.08,  1.13,  1.05,  1.04,0.982,  0.58,  2.32, 10.08,  9.87,  1.02,2018-04-30,111,-1.2767%,"10.0 loss, max: 11.06%"
UNM, 14.14B,2018-01-10,  44.00$,  0.99,  1.54,3650,5,  1.06,  1.14,  1.17,  1.08,  1.10,  1.03,  1.02,0.731,  0.99,  2.80,  9.82,  9.89,  1.04,2018-02-05,26,-11.9545%,"10.0 loss, max: 1.86%"
HUM, 31.93B,2018-01-11, 250.60$,  0.80,  0.68,3650,1,  1.06,  1.08,  1.11,  1.02,  1.04,  1.02,  1.02,0.578,  1.75,  5.00,  9.88,  9.85,  1.04,2018-03-23,71,-1.3607%,"10.0 loss, max: 9.81%"
IP, 28.00B,2018-01-11,  42.78$,  0.99,  0.67,3650,1,  1.10,  1.11,  1.14,  1.02,  1.04,  1.02,  1.02,0.983,  1.03,  3.16,  9.88,  9.85,  1.03,2018-02-08,28,-9.9345%,"10.0 loss, max: 4.58%"
MMM, 78.11B,2018-01-12, 156.61$,  0.89,  1.07,3650,6,  1.04,  1.12,  1.16,  1.08,  1.11,  1.03,  1.03,1.017,  0.89,  5.91, 10.16,  9.79,  1.02,2018-02-05,24,-5.3317%,"10.0 loss, max: 5.79%"
WAT, 21.52B,2018-01-12, 209.75$,  0.97,  0.58,3650,2,  1.06,  1.12,  1.15,  1.05,  1.08,  1.03,  1.03,0.998,  0.97,  2.63, 10.16,  9.79,  1.04,2018-02-08,27,-8.5626%,"10.0 loss, max: 4.27%"
BAP, 14.95B,2018-01-16, 216.96$,  0.48,  0.62,3650,1,  1.07,  1.13,  1.19,  1.06,  1.11,  1.05,  1.03,1.056,  1.22,  5.48, 11.66,  9.79,  1.03,2018-02-08,23,-6.6879%,"10.0 loss, max: 5.86%"
TRV, 59.35B,2018-01-17, 116.46$,  0.99,  1.08,3650,1,  1.03,  1.07,  1.09,  1.04,  1.06,  1.02,  1.01,0.621,  1.81,  3.97, 11.91,  9.85,  1.03,2018-04-24,97,-2.4043%,"10.0 loss, max: 9.60%"
DLTR, 15.65B,2018-01-22, 115.02$,  0.25,  0.82,3650,1,  1.10,  1.31,  1.34,  1.19,  1.22,  1.03,  1.04,0.909,  1.62,  3.26, 11.03, 10.57,  1.03,2018-02-08,17,-11.6849%,"10.0 loss, max: 1.16%"
EHC, 10.15B,2018-01-22,  38.20$,  0.98,  0.48,3650,1,  1.07,  1.14,  1.15,  1.06,  1.07,  1.01,  1.02,0.826,  0.99,  6.61, 11.03, 10.57,  1.03,2018-05-08,106,20.1571%,"20.0 gain, min: -4.95%"
NTRS, 18.94B,2018-01-22,  86.78$,  0.88,  0.95,3650,1,  1.09,  1.15,  1.17,  1.05,  1.07,  1.02,  1.02,1.093,  1.41,  3.82, 11.03, 10.57,  1.02,2018-02-08,17,-10.4517%,"10.0 loss, max: 0.00%"
WCN, 49.77B,2018-01-22,  69.01$,  0.73,  1.22,3650,6,  1.04,  1.07,  1.10,  1.03,  1.06,  1.02,  1.02,0.804,  0.85,  3.29, 11.03, 10.57,  1.02,2018-02-08,17,-9.5493%,"10.0 loss, max: 0.96%"
WRB, 27.03B,2018-01-23,  18.30$,  0.55,  0.73,3650,1,  1.04,  1.06,  1.07,  1.02,  1.02,  1.00,  1.00,0.641,  1.28,  4.21, 11.10, 10.75,  1.04,2018-12-21,332,1.5847%,"10.0 loss, max: 13.06%"
CDW, 21.40B,2018-01-26,  69.61$,  0.42,  0.53,3650,1,  1.08,  1.14,  1.17,  1.06,  1.09,  1.03,  1.02,1.004,  0.73,  4.47, 11.08, 11.23,  1.02,2018-02-07,12,-9.6251%,"10.0 loss, max: 1.08%"
CNA, 13.57B,2018-01-26,  31.58$,  0.54,  0.43,3650,1,  1.03,  1.08,  1.11,  1.04,  1.08,  1.03,  1.02,0.679,  0.54,  5.46, 11.08, 11.23,  1.02,2018-02-08,13,-12.0329%,"10.0 loss, max: 0.00%"
DECK, 16.93B,2018-01-26,  14.74$,  0.61,  0.67,3650,1,  1.13,  1.27,  1.30,  1.12,  1.15,  1.03,  1.04,1.099,  1.70,  5.36, 11.08, 11.23,  1.04,2018-04-02,66,-2.1031%,"10.0 loss, max: 11.13%"
IX, 24.11B,2018-01-26,  20.01$,  0.70,  0.69,3650,1,  1.14,  1.20,  1.22,  1.05,  1.06,  1.02,  1.02,0.867,  1.00,  3.48, 11.08, 11.23,  1.03,2018-02-05,10,-12.1439%,"10.0 loss, max: 0.00%"
YUM, 43.47B,2018-01-26,  75.56$,  0.63,  0.74,3650,3,  1.05,  1.11,  1.14,  1.06,  1.09,  1.03,  1.03,1.029,  0.70,  6.52, 11.08, 11.23,  1.03,2018-02-08,13,-11.4876%,"10.0 loss, max: 0.33%"
BAP, 14.95B,2018-01-29, 229.68$,  0.36,  1.97,3650,28,  1.11,  1.18,  1.24,  1.06,  1.12,  1.05,  1.04,1.056,  0.89,  5.48, 13.84, 11.35,  1.03,2018-02-08,10,-11.8556%,"10.0 loss, max: 0.00%"
MTB, 28.80B,2018-01-29, 152.49$,  0.22,  0.99,3650,4,  1.10,  1.16,  1.18,  1.06,  1.07,  1.01,  1.02,0.728,  0.95,  3.87, 13.84, 11.35,  1.02,2018-05-29,120,-9.1481%,"10.0 loss, max: 4.11%"
FMS, 14.54B,2018-01-31,  49.73$,  0.24,  1.11,3650,18,  1.09,  1.16,  1.18,  1.06,  1.08,  1.02,  1.03,0.906,  0.51,  2.39, 13.54, 12.03,  1.02,2018-02-08,8,-10.3961%,"10.0 loss, max: 0.00%"
MKL, 23.69B,2018-01-31,1147.69$,  0.79,  1.67,3650,8,  1.03,  1.07,  1.10,  1.04,  1.07,  1.02,  1.02,0.818,  2.22,  2.38, 13.54, 12.03,  1.02,2018-10-23,265,-4.9064%,"10.0 loss, max: 6.16%"
