Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
BCH,7/7 5/7,2025-04-03,  27.21$,  1.68,  2.71,3650,216,  1.10,  1.19,  1.20,  1.08,  1.09,  1.01,  1.02,0.192,  1.68,  3.65, 30.02, 19.79,  1.02,7/7,5/7,N/A,N/A
BJ,7/7 5/7,2025-04-03, 118.49$,  3.06,  1.95,3650,18,  1.12,  1.26,  1.28,  1.12,  1.14,  1.02,  1.03,0.276,  3.06, 12.23, 30.02, 19.79,  1.06,7/7,5/7,N/A,N/A
BRO,7/7 5/7,2025-04-03, 124.43$,  0.16,  1.31,3650,1,  1.09,  1.15,  1.18,  1.06,  1.09,  1.03,  1.03,0.856,  0.23,  3.21, 30.02, 19.79,  1.02,7/7,5/7,N/A,N/A
CB,6/7 5/7,2025-04-03, 302.46$,  0.31,  1.25,3650,3,  1.08,  1.08,  1.09,  1.00,  1.02,  1.02,  1.01,0.674,  0.31,  3.67, 30.02, 19.79,  1.02,6/7,5/7,N/A,N/A
CCEP,7/7 6/7,2025-04-03,  89.82$,  2.76,  1.83,3650,7,  1.08,  1.14,  1.16,  1.05,  1.07,  1.02,  1.02,0.791,  2.76,  2.99, 30.02, 19.79,  1.05,7/7,6/7,N/A,N/A
DTE,7/7 6/7,2025-04-03, 139.49$,  1.08,  1.41,3650,9,  1.08,  1.13,  1.15,  1.04,  1.06,  1.02,  1.02,0.601,  1.08,  2.95, 30.02, 19.79,  1.02,7/7,6/7,N/A,N/A
EXC,7/7 6/7,2025-04-03,  47.23$,  2.74,  1.75,3650,3,  1.11,  1.19,  1.22,  1.07,  1.10,  1.03,  1.02,0.58,  2.74,  3.48, 30.02, 19.79,  1.06,7/7,6/7,N/A,N/A
NWN,7/7 5/7,2025-04-03,  43.36$,  0.46,  1.07,480,2,  1.05,  1.08,  1.10,  1.02,  1.05,  1.02,  1.02,0.584,  0.68,  4.42, 30.02, 19.79,  1.03,7/7,5/7,N/A,N/A
RYAN,7/7 6/7,2025-04-03,  75.93$,  1.16,  1.53,3650,2,  1.10,  1.12,  1.15,  1.01,  1.05,  1.03,  1.03,0.708,  1.69,  5.01, 30.02, 19.79,  1.04,7/7,6/7,N/A,N/A
TFPM,7/7 5/7,2025-04-03,  19.79$,  1.80,  1.55,3650,23,  1.13,  1.18,  1.20,  1.05,  1.06,  1.02,  1.02,-0.16,  1.80,  4.58, 30.02, 19.79,  1.02,7/7,5/7,N/A,N/A
VRSK,7/7 6/7,2025-04-03, 305.09$,  1.80,  1.88,3650,18,  1.05,  1.09,  1.10,  1.04,  1.05,  1.01,  1.01,0.899,  1.80,  4.20, 30.02, 19.79,  1.04,7/7,6/7,N/A,N/A
XEL,7/7 6/7,2025-04-03,  72.14$,  1.75,  1.00,3650,3,  1.06,  1.09,  1.14,  1.03,  1.08,  1.04,  1.03,0.387,  1.75,  4.56, 30.02, 19.79,  1.04,7/7,6/7,N/A,N/A
