Date,Action,Ticker,Profit,Cash,Cash Change,Holding,Holding Change,Total
2018-01-02,Buy,FDX,,66.67,-33.33,33.33 (1),+33.33,100.00
2018-01-02,Buy,SCCO,,33.33,-33.33,66.67 (2),+33.33,100.00
2018-01-02,No money,SU,,33.33,,66.67 (2),,100.00
2018-01-03,Buy,BAX,,16.67,-16.67,83.33 (3),+16.67,100.00
2018-01-03,Buy,FDX,,0.00,-16.67,100.00 (4),+16.67,100.00
2018-01-04,No money,FDX,,0.00,,100.00 (4),,100.00
2018-01-04,No money,HMC,,0.00,,100.00 (4),,100.00
2018-01-04,No money,SU,,0.00,,100.00 (4),,100.00
2018-01-05,Sell,FDX,2.8299%,34.28,+34.28,66.67 (3),-34.28,100.94
2018-01-05,Sell,SCCO,-0.3414%,67.50,+33.22,33.33 (2),-33.22,100.83
2018-01-05,Sell,FDX,1.5595%,84.42,+16.93,16.67 (1),-16.93,101.09
2018-01-05,Buy,BAX,,67.54,-16.88,33.55 (2),+16.88,101.09
2018-01-05,Buy,FNF,,50.65,-16.88,50.44 (3),+16.88,101.09
2018-01-05,Buy,MCO,,33.77,-16.88,67.32 (4),+16.88,101.09
2018-01-05,Buy,TEL,,16.88,-16.88,84.20 (5),+16.88,101.09
2018-01-05,No money,WAT,,16.88,,84.20 (5),,101.09
2018-01-08,Sell,BAX,1.3628%,33.78,+16.89,67.54 (4),-16.89,101.32
2018-01-08,Buy,ARES,,27.02,-6.76,74.29 (5),+6.76,101.32
2018-01-08,Buy,CBOE,,20.27,-6.76,81.05 (6),+6.76,101.32
2018-01-08,Buy,FDX,,13.51,-6.76,87.81 (7),+6.76,101.32
2018-01-08,Buy,TROW,,6.76,-6.76,94.56 (8),+6.76,101.32
2018-01-08,No money,WAT,,6.76,,94.56 (8),,101.32
2018-01-10,Sell,MCO,1.302%,23.86,+17.10,77.68 (7),-17.10,101.54
2018-01-10,Sell,TEL,-0.7825%,40.61,+16.75,60.79 (6),-16.75,101.40
2018-01-10,Sell,ARES,3.3779%,47.60,+6.98,54.04 (5),-6.98,101.63
2018-01-10,Sell,FDX,-0.3397%,54.33,+6.73,47.28 (4),-6.73,101.61
2018-01-10,Sell,TROW,1.6957%,61.20,+6.87,40.52 (3),-6.87,101.72
2018-01-10,Buy,ARES,,55.08,-6.12,46.64 (4),+6.12,101.72
2018-01-10,Buy,CBOE,,48.96,-6.12,52.76 (5),+6.12,101.72
2018-01-10,Buy,EWBC,,42.84,-6.12,58.88 (6),+6.12,101.72
2018-01-10,Buy,HMC,,36.72,-6.12,65.00 (7),+6.12,101.72
2018-01-10,Buy,INFY,,30.60,-6.12,71.12 (8),+6.12,101.72
2018-01-10,Buy,JKHY,,24.48,-6.12,77.24 (9),+6.12,101.72
2018-01-10,Buy,NWG,,18.36,-6.12,83.36 (10),+6.12,101.72
2018-01-10,Buy,PUK,,12.24,-6.12,89.48 (11),+6.12,101.72
2018-01-10,Buy,RJF,,6.12,-6.12,95.60 (12),+6.12,101.72
2018-01-10,No money,STT,,6.12,,95.60 (12),,101.72
2018-02-23,Sell,BAX,-1.0821%,22.82,+16.70,78.72 (11),-16.70,101.54
2018-02-23,Sell,CBOE,2.16%,29.72,+6.90,71.96 (10),-6.90,101.69
2018-02-23,Sell,FNF,-0.1003%,46.59,+16.87,55.08 (9),-16.87,101.67
2018-02-23,Sell,PUK,2.0915%,52.84,+6.25,48.96 (8),-6.25,101.80
2018-02-23,Sell,RJF,2.5323%,59.11,+6.27,42.84 (7),-6.27,101.95
2018-02-23,Sell,ARES,3.1435%,65.43,+6.31,36.72 (6),-6.31,102.15
2018-02-23,Sell,CBOE,-0.1082%,71.54,+6.11,30.60 (5),-6.11,102.14
2018-02-23,Sell,EWBC,1.8881%,77.77,+6.24,24.48 (4),-6.24,102.25
2018-02-23,Sell,HMC,-0.5239%,83.86,+6.09,18.36 (3),-6.09,102.22
2018-02-23,Sell,INFY,1.567%,90.08,+6.22,12.24 (2),-6.22,102.32
2018-02-23,Sell,NWG,1.9455%,96.32,+6.24,6.12 (1),-6.24,102.44
2018-02-23,Sell,JKHY,2.0105%,102.56,+6.24,0.00 (0),-6.24,102.56
2018-02-23,Buy,CTSH,,68.37,-34.19,34.19 (1),+34.19,102.56
2018-02-23,Buy,NICE,,34.19,-34.19,68.37 (2),+34.19,102.56
2018-02-23,Buy,RS,,0.00,-34.19,102.56 (3),+34.19,102.56
2018-02-26,No money,CHRW,,0.00,,102.56 (3),,102.56
2018-02-26,No money,FNF,,0.00,,102.56 (3),,102.56
2018-02-26,No money,HMC,,0.00,,102.56 (3),,102.56
2018-02-26,No money,KEYS,,0.00,,102.56 (3),,102.56
2018-02-26,No money,RS,,0.00,,102.56 (3),,102.56
2018-03-08,Sell,CTSH,-0.0268%,34.18,+34.18,68.37 (2),-34.18,102.55
2018-03-08,Sell,NICE,-0.3816%,68.23,+34.06,34.19 (1),-34.06,102.42
2018-03-08,Sell,RS,-2.2925%,101.64,+33.40,0.00 (0),-33.40,101.64
2018-03-08,Buy,STZ,,0.00,-101.64,101.64 (1),+101.64,101.64
2018-03-09,No money,STZ,,0.00,,101.64 (1),,101.64
2018-03-09,No money,XYL,,0.00,,101.64 (1),,101.64
2018-03-12,No money,ABEV,,0.00,,101.64 (1),,101.64
